state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count,dd,tt,state_clean,trump_win_rate_list,ddtt,idx
Montana (EV: 3),17:08.8,Trump,Biden,294438,222737,71701,74125,2260,2168,"2,168",0.804889299,0.195110701,583,663,0.997920637,0.023640836,0.195110701,{'Cascade': 2260},532437,20201104,1517,Montana,0.569319863,202011041517,MT
New York (EV: 29),17:08.8,Biden,Trump,4122733,2867860,1254873,1533382,629,614,614,0.737785016,0.262214984,11665,14931,0.914932137,0.000266649,0.262214984,{'Rensselaer': 629},7082823,20201104,1517,New York,0.410245597,202011041517,NY
Pennsylvania (EV: 20),17:08.8,Trump,Biden,2977987,2390331,587656,1484069,4275,4249,"4,249",0.298658508,0.701341492,6943,9128,0.700509034,-6.19E-06,0.819566667,{'Luzerne': 4275},5441186,20201104,1517,Pennsylvania,0.554733717,202011041517,PA
South Dakota (EV: 3),17:08.8,Trump,Biden,244151,127209,116942,41161,3,3,3,1,0,653,693,1.958843588,0.000143741,0,{'Hand': 3},381614,20201104,1517,South Dakota,0.657450991,202011041517,SD
Vermont (EV: 3),17:08.8,Biden,Trump,226820,110755,116065,18258,6,6,6,0.666666667,0.333333333,267,275,3.784894323,0.001135723,0.510436433,{'Washington': 6},349170,20201104,1517,Vermont,0.328090054,202011041517,VT
Minnesota (EV: 10),21:22.3,Biden,Trump,1682080,1453137,228943,164267,960,928,928,0.334051724,0.665948276,3764,4110,1.213413317,0.003190878,0.644002211,"{'Clearwater': 335, 'Mower': 625}",3200448,20201104,1521,Minnesota,0.463488492,202011041521,MN
South Dakota (EV: 3),21:22.3,Trump,Biden,244152,127210,116942,41159,2,2,2,0.5,0.5,653,693,1.958914476,7.09E-05,0.2,{'Union': 2},381616,20201104,1521,South Dakota,0.657450143,202011041521,SD
West Virginia (EV: 5),21:22.3,Trump,Biden,539610,232502,307108,8380,146,138,138,0.434782609,0.565217391,1685,1706,19.13543722,0.31804138,0.565217391,{'Berkeley': 146},786272,20201104,1521,West Virginia,0.698875293,202011041521,WV
Michigan (EV: 16),25:43.0,Biden,Trump,2516759,2507100,9659,430722,684,696,696,0.353448276,0.646551724,4451,4974,0.511388162,-0.000222083,0.527966667,{'Manistee': 708},5108580,20201104,1525,Michigan,0.499038687,202011041525,MI
Pennsylvania (EV: 20),25:43.0,Trump,Biden,2981316,2431315,550001,1439464,44605,44313,"44,313",0.075124681,0.924875319,7035,9128,0.693476194,-0.00703284,0.924875319,{'Philadelphia': 44605},5485791,20201104,1525,Pennsylvania,0.550807177,202011041525,PA
